Construction Type,Building Area (sq ft),Number of Floors,Number of Rooms,Number of Bathrooms,Flooring Type,Ceiling Height,Roof Type,Foundation Type,Company,Labor Charges,Bid Amount,Project Duration (Months)
Industrial,960,4,3,2,Wood,14,Pitched,Slab,Company B,18851,257978,19
Commercial,2225,3,4,3,Carpet,10,Flat,Crawl Space,Company A,46941,360243,18
Residential,4461,2,3,4,Wood,14,Flat,Basement,Company C,15329,223800,10
Industrial,1077,4,4,2,Tile,9,Pitched,Slab,Company C,27245,449253,20
Commercial,4191,8,6,3,Tile,14,Pitched,Crawl Space,Company D,25345,429394,36
Residential,2356,7,1,1,Wood,8,Gabled,Basement,Company D,19711,387853,32
Industrial,2715,9,2,3,Wood,14,Flat,Slab,Company D,26770,312429,26
Industrial,3907,8,10,2,Carpet,12,Pitched,Crawl Space,Company B,26541,257862,33
Commercial,1102,1,6,3,Carpet,8,Gabled,Crawl Space,Company C,25929,303310,34
Residential,3573,2,12,4,Wood,14,Gabled,Crawl Space,Company A,14662,137550,10
Residential,4045,2,13,1,Carpet,8,Flat,Slab,Company C,12199,408273,17
Industrial,1800,8,6,3,Tile,12,Gabled,Basement,Company A,23201,437694,33
Industrial,4634,4,12,1,Wood,12,Gabled,Basement,Company D,16486,456552,15
Industrial,4806,9,14,2,Carpet,11,Gabled,Crawl Space,Company B,20135,125851,6
Residential,2518,2,1,4,Tile,10,Gabled,Basement,Company B,20522,283087,8
Commercial,4630,4,6,4,Wood,14,Gabled,Crawl Space,Company D,41481,389473,33
Commercial,3981,1,14,3,Carpet,8,Flat,Slab,Company B,9102,482900,24
Residential,3682,3,11,1,Tile,13,Flat,Slab,Company D,12380,214491,7
Commercial,1798,6,12,1,Wood,8,Flat,Basement,Company C,10039,495310,28
Industrial,1084,9,9,3,Carpet,14,Flat,Crawl Space,Company A,46560,377632,10
Commercial,1220,1,8,3,Tile,12,Pitched,Slab,Company B,11223,241505,6
Commercial,2960,5,10,3,Tile,12,Flat,Basement,Company D,21720,127254,36
Commercial,3865,2,5,3,Tile,14,Flat,Crawl Space,Company A,29928,340995,20
Industrial,3075,7,13,4,Tile,14,Flat,Slab,Company D,46318,494131,6
Residential,2294,4,4,3,Wood,9,Gabled,Basement,Company B,20682,176192,25
Industrial,4684,5,6,1,Tile,8,Gabled,Crawl Space,Company A,22570,378365,34
Residential,3343,8,11,2,Wood,8,Gabled,Crawl Space,Company B,41669,367493,29
Residential,4926,2,14,1,Wood,12,Flat,Slab,Company A,23130,145656,14
Residential,2641,3,12,3,Carpet,13,Pitched,Basement,Company A,44671,159439,36
Commercial,1521,5,5,4,Wood,13,Pitched,Basement,Company D,17877,161839,8
Commercial,2201,4,13,3,Tile,8,Flat,Crawl Space,Company A,22666,259333,34
Residential,1245,5,6,2,Wood,10,Pitched,Slab,Company C,33165,294557,21
Residential,3591,3,14,3,Wood,11,Pitched,Slab,Company B,33803,411290,13
Commercial,4567,9,14,2,Carpet,12,Flat,Basement,Company D,6545,481350,13
Industrial,3351,8,10,3,Wood,12,Gabled,Crawl Space,Company A,34407,169766,28
Residential,2767,6,11,4,Carpet,8,Pitched,Basement,Company C,12662,463179,35
Industrial,4688,1,3,1,Wood,14,Gabled,Basement,Company C,19323,355713,20
Commercial,3531,4,7,2,Carpet,13,Flat,Crawl Space,Company C,24370,457712,17
Residential,3429,7,8,1,Wood,11,Gabled,Slab,Company D,7041,291408,32
Industrial,2764,5,5,3,Tile,11,Pitched,Basement,Company A,43738,198407,22
Industrial,1857,4,5,1,Wood,13,Gabled,Crawl Space,Company A,26878,267427,32
Industrial,1557,9,12,4,Carpet,12,Gabled,Slab,Company C,9453,307628,34
Commercial,2595,8,4,4,Carpet,12,Gabled,Crawl Space,Company D,27703,218156,36
Commercial,2443,3,10,1,Tile,12,Flat,Crawl Space,Company B,20577,306687,16
Industrial,823,6,5,1,Tile,10,Flat,Crawl Space,Company A,5810,398410,28
Industrial,2039,4,12,4,Carpet,8,Flat,Slab,Company A,44582,269867,9
Commercial,4950,7,10,2,Tile,10,Flat,Slab,Company B,16557,151063,22
Industrial,3897,1,11,2,Wood,12,Gabled,Slab,Company A,37715,188013,16
Industrial,2104,1,8,4,Wood,11,Pitched,Basement,Company B,28186,191220,13
Commercial,3342,6,5,4,Tile,8,Gabled,Basement,Company B,16465,412608,24
Industrial,4512,7,9,2,Wood,8,Gabled,Slab,Company A,47419,217510,31
Industrial,4755,9,13,1,Wood,13,Gabled,Basement,Company C,45204,188782,34
Industrial,2105,7,12,1,Tile,12,Pitched,Crawl Space,Company A,24942,146598,25
Commercial,3974,9,13,3,Carpet,12,Pitched,Crawl Space,Company C,44525,320970,22
Industrial,4428,9,1,2,Wood,12,Pitched,Crawl Space,Company A,23333,140623,13
Commercial,1581,8,7,4,Tile,12,Gabled,Basement,Company D,49140,497977,13
Commercial,1366,7,5,3,Carpet,14,Flat,Slab,Company C,33537,222955,12
Residential,4932,3,4,1,Wood,14,Flat,Basement,Company B,40371,306266,24
Residential,1438,3,3,2,Wood,12,Gabled,Basement,Company C,19198,383319,7
Industrial,4500,5,12,3,Tile,14,Flat,Slab,Company C,8831,345415,18
Commercial,4967,7,10,1,Wood,12,Flat,Crawl Space,Company A,15475,416780,9
Residential,3199,7,7,4,Carpet,8,Gabled,Slab,Company D,20923,437985,23
Industrial,3470,1,12,1,Tile,10,Gabled,Crawl Space,Company B,14417,414471,18
Residential,1972,8,2,1,Tile,11,Flat,Slab,Company D,47855,345803,35
Residential,2520,1,5,2,Tile,14,Gabled,Basement,Company C,16821,159102,36
Commercial,904,4,2,4,Tile,12,Flat,Slab,Company D,31170,487002,6
Commercial,2482,2,7,2,Carpet,11,Pitched,Slab,Company D,38965,356868,33
Residential,2649,5,6,4,Carpet,13,Pitched,Crawl Space,Company D,26023,256811,30
Residential,1662,6,13,3,Carpet,8,Gabled,Slab,Company C,36892,414501,36
Commercial,4245,4,10,1,Carpet,11,Flat,Slab,Company D,30884,159002,26
Industrial,3365,4,7,2,Carpet,8,Pitched,Slab,Company D,21134,152711,8
Commercial,1098,7,12,4,Carpet,9,Gabled,Slab,Company A,40369,181545,8
Residential,3708,4,9,2,Tile,10,Pitched,Basement,Company B,17252,333551,35
Industrial,4937,2,13,1,Tile,9,Pitched,Slab,Company C,30342,191544,32
Residential,1570,4,2,1,Tile,8,Gabled,Slab,Company D,6525,203901,21
Industrial,3339,7,9,3,Carpet,14,Pitched,Crawl Space,Company D,42461,160124,30
Residential,2262,1,7,4,Tile,13,Gabled,Slab,Company A,5934,495183,6
Industrial,4654,4,2,4,Carpet,9,Gabled,Basement,Company B,38488,170998,21
Industrial,3918,6,10,3,Tile,8,Pitched,Crawl Space,Company C,31465,381574,22
Residential,2932,8,2,3,Carpet,9,Pitched,Crawl Space,Company D,11056,445527,8
Industrial,2509,8,4,4,Carpet,8,Flat,Slab,Company C,35745,117211,20
Commercial,1790,9,2,4,Carpet,10,Pitched,Crawl Space,Company D,48096,259856,34
Residential,1510,5,1,2,Wood,13,Flat,Crawl Space,Company D,10603,351054,19
Commercial,838,2,6,4,Wood,10,Gabled,Slab,Company C,37578,232964,16
Residential,2075,3,10,2,Carpet,10,Pitched,Basement,Company C,23475,380705,18
Industrial,2236,2,14,2,Tile,8,Pitched,Basement,Company D,6087,288094,10
Industrial,3793,9,11,2,Carpet,11,Gabled,Slab,Company C,27199,266692,34
Industrial,2269,6,5,2,Carpet,9,Pitched,Crawl Space,Company B,37216,309732,17
Residential,2899,1,12,1,Wood,14,Flat,Slab,Company C,31197,216837,22
Commercial,1173,3,3,3,Carpet,9,Pitched,Slab,Company C,17163,478093,26
Commercial,4825,7,11,3,Wood,9,Flat,Crawl Space,Company C,23715,118709,34
Residential,1913,7,1,4,Tile,13,Pitched,Crawl Space,Company C,45636,440780,26
Residential,3526,5,9,3,Tile,9,Pitched,Slab,Company D,37250,345510,11
Commercial,3198,3,8,3,Tile,10,Gabled,Crawl Space,Company A,19046,439953,29
Commercial,4034,7,6,1,Carpet,11,Flat,Crawl Space,Company D,25023,473731,22
Commercial,2065,5,6,2,Wood,9,Gabled,Basement,Company D,18852,249252,33
Commercial,3923,6,12,2,Carpet,11,Gabled,Basement,Company B,10831,230713,30
Residential,1453,3,4,2,Tile,8,Gabled,Slab,Company D,22226,339195,32
Residential,4958,6,13,3,Carpet,8,Flat,Slab,Company D,49663,388302,30
Industrial,1308,7,2,3,Wood,13,Gabled,Slab,Company B,24912,175606,22
Commercial,3139,8,12,4,Wood,9,Flat,Basement,Company B,41126,205447,27
Industrial,3962,2,4,1,Tile,12,Flat,Crawl Space,Company C,22216,344977,15
Residential,2487,2,14,1,Tile,13,Pitched,Slab,Company D,29646,279860,27
Residential,2188,6,2,4,Tile,10,Flat,Basement,Company B,19153,111640,29
Industrial,2997,8,13,4,Carpet,13,Flat,Slab,Company D,11280,216545,13
Commercial,4711,5,7,4,Wood,9,Pitched,Basement,Company D,22470,210298,23
Commercial,3728,1,9,2,Carpet,10,Gabled,Basement,Company D,13780,361823,33
Commercial,1315,1,13,2,Tile,9,Pitched,Crawl Space,Company C,24226,281037,30
Commercial,4458,9,2,2,Wood,10,Pitched,Basement,Company C,9625,291240,15
Industrial,2633,4,9,2,Tile,14,Pitched,Crawl Space,Company D,32535,457005,6
Industrial,829,1,9,4,Wood,12,Flat,Slab,Company A,15115,238819,10
Residential,4014,8,8,4,Wood,12,Pitched,Crawl Space,Company D,48997,414048,31
Commercial,1125,2,1,4,Tile,13,Flat,Slab,Company C,47661,125895,23
Commercial,4566,2,5,2,Wood,8,Flat,Slab,Company B,26651,246069,31
Commercial,4911,1,14,2,Wood,13,Flat,Crawl Space,Company D,7984,425646,6
Industrial,910,1,10,3,Tile,9,Flat,Slab,Company C,33187,242232,34
Commercial,906,9,13,4,Wood,12,Gabled,Slab,Company B,26312,335698,28
Industrial,3226,1,13,1,Tile,12,Flat,Slab,Company C,46608,462143,14
Commercial,3331,6,11,1,Carpet,13,Flat,Slab,Company A,18673,138110,23
Commercial,3944,7,4,3,Carpet,9,Pitched,Basement,Company C,45096,291913,29
Residential,1598,4,7,2,Tile,13,Pitched,Basement,Company D,5756,370992,10
Commercial,3237,5,13,4,Wood,14,Flat,Crawl Space,Company B,6984,172061,27
Commercial,2811,4,11,2,Carpet,13,Gabled,Basement,Company D,49649,235841,15
Residential,1225,4,14,2,Tile,13,Gabled,Basement,Company D,14224,334436,19
Industrial,3844,1,8,1,Tile,9,Pitched,Basement,Company A,8797,161486,17
Industrial,4088,6,14,1,Wood,8,Gabled,Basement,Company C,37061,104777,12
Commercial,3714,7,10,4,Wood,12,Pitched,Basement,Company A,35020,332797,18
Industrial,2039,7,11,4,Wood,10,Gabled,Basement,Company C,38909,206033,9
Commercial,4191,8,13,2,Tile,9,Gabled,Crawl Space,Company A,19721,214796,24
Residential,4797,7,8,2,Carpet,9,Gabled,Crawl Space,Company C,48213,346964,23
Residential,3806,6,2,3,Tile,9,Pitched,Crawl Space,Company B,39507,365181,20
Commercial,3839,8,3,2,Wood,13,Pitched,Basement,Company D,26532,212653,20
Residential,1398,3,13,3,Wood,13,Flat,Basement,Company C,14423,482936,32
Residential,2887,9,10,2,Tile,9,Flat,Basement,Company B,10423,231650,6
Commercial,1984,3,10,2,Wood,12,Gabled,Slab,Company C,30160,106373,21
Commercial,3550,4,7,2,Wood,10,Gabled,Basement,Company C,17082,315571,9
Residential,3384,6,4,4,Tile,8,Gabled,Crawl Space,Company D,17063,416860,27
Industrial,4313,8,6,4,Carpet,11,Pitched,Slab,Company D,37628,123062,24
Industrial,4854,3,8,4,Wood,12,Gabled,Slab,Company B,42783,431668,8
Commercial,4736,6,8,3,Carpet,12,Flat,Basement,Company D,47356,459339,31
Commercial,2499,5,7,3,Carpet,14,Gabled,Basement,Company D,41281,241305,29
Industrial,3375,5,13,4,Carpet,11,Flat,Crawl Space,Company B,40219,207908,10
Residential,935,5,12,3,Carpet,11,Gabled,Crawl Space,Company D,25084,234707,7
Industrial,2825,9,2,4,Wood,9,Gabled,Basement,Company B,12594,371560,15
Industrial,4335,7,2,1,Wood,10,Gabled,Crawl Space,Company B,43276,190022,14
Industrial,3690,9,3,4,Tile,12,Flat,Crawl Space,Company D,44379,386229,17
Industrial,3557,9,4,1,Wood,12,Flat,Basement,Company C,7767,362354,19
Commercial,4573,6,1,2,Tile,8,Pitched,Crawl Space,Company D,31443,370916,20
Commercial,1180,6,5,3,Carpet,11,Flat,Slab,Company D,28649,470371,6
Residential,2328,4,14,3,Tile,11,Gabled,Slab,Company C,40112,492852,21
Residential,4428,8,7,4,Tile,12,Flat,Crawl Space,Company D,29233,301169,11
Residential,1648,2,12,2,Wood,11,Gabled,Slab,Company D,16368,391460,10
Residential,4927,5,10,2,Tile,9,Gabled,Crawl Space,Company C,18890,128902,24
Industrial,2727,1,11,2,Carpet,8,Flat,Slab,Company B,19312,154777,20
Commercial,2965,2,5,2,Wood,12,Pitched,Crawl Space,Company C,12644,356588,33
Commercial,2921,1,14,3,Wood,13,Flat,Basement,Company C,49780,305053,6
Residential,3718,6,7,4,Wood,8,Flat,Crawl Space,Company A,20099,274809,22
Residential,1272,2,5,4,Carpet,13,Gabled,Basement,Company A,21466,322415,26
Industrial,2587,4,11,1,Tile,14,Flat,Crawl Space,Company B,21916,105755,12
Industrial,913,5,10,3,Wood,9,Pitched,Crawl Space,Company D,10835,368810,13
Residential,2136,7,8,1,Tile,8,Gabled,Basement,Company B,30046,329442,8
Commercial,1138,1,7,2,Carpet,13,Flat,Slab,Company D,31267,167395,12
Commercial,3085,5,14,4,Carpet,11,Pitched,Basement,Company A,11846,291344,13
Commercial,1996,4,1,1,Carpet,12,Gabled,Slab,Company C,16199,124456,24
Residential,878,7,11,3,Wood,8,Pitched,Crawl Space,Company C,20158,195581,17
Commercial,3452,7,1,4,Wood,10,Pitched,Slab,Company B,16787,110290,33
Industrial,3440,8,12,3,Tile,12,Gabled,Crawl Space,Company C,33545,327643,15
Industrial,2056,4,5,4,Tile,8,Flat,Basement,Company C,44866,122073,36
Residential,1627,4,14,3,Wood,12,Pitched,Slab,Company A,26771,450283,29
Industrial,3518,5,2,3,Carpet,13,Gabled,Crawl Space,Company A,31342,205141,10
Residential,3610,5,9,4,Carpet,8,Flat,Slab,Company B,33537,449950,33
Commercial,4185,3,2,3,Wood,8,Pitched,Basement,Company D,11392,278224,10
Commercial,2765,5,12,3,Tile,11,Gabled,Crawl Space,Company B,15621,407084,29
Commercial,3227,5,9,2,Carpet,8,Pitched,Basement,Company A,30937,311092,27
Industrial,3641,8,10,4,Wood,10,Flat,Crawl Space,Company C,7693,244106,27
Residential,1413,7,2,1,Tile,11,Flat,Slab,Company D,19087,287625,17
Commercial,1362,8,4,4,Tile,10,Flat,Slab,Company A,32790,488884,35
Residential,984,5,3,4,Carpet,13,Gabled,Slab,Company A,45683,242234,18
Commercial,2992,2,6,2,Carpet,10,Flat,Slab,Company D,11662,239076,27
Industrial,4865,8,4,1,Carpet,14,Flat,Basement,Company D,18532,188374,31
Industrial,1045,9,9,1,Carpet,9,Gabled,Crawl Space,Company B,19393,206068,6
Residential,4886,2,9,1,Tile,10,Flat,Slab,Company D,38688,212064,22
Industrial,3034,1,13,3,Wood,8,Flat,Slab,Company D,28996,438959,24
Industrial,1665,6,10,3,Tile,12,Flat,Slab,Company C,29799,155271,7
Residential,2887,3,14,3,Carpet,11,Gabled,Slab,Company B,48659,492597,30
Commercial,1400,1,9,1,Wood,11,Flat,Crawl Space,Company D,24992,115702,23
Industrial,3833,6,3,4,Tile,11,Pitched,Slab,Company B,43546,128819,25
Residential,2856,8,3,4,Wood,12,Gabled,Crawl Space,Company D,46769,272415,16
Industrial,2931,9,4,1,Tile,10,Pitched,Basement,Company A,23678,463952,35
Industrial,1332,6,9,1,Wood,13,Gabled,Slab,Company A,21907,201703,19
Industrial,2842,6,14,2,Tile,14,Gabled,Slab,Company B,36714,488909,28
Industrial,1157,1,6,3,Tile,9,Gabled,Basement,Company A,44063,384008,31
Residential,1177,5,9,3,Carpet,8,Pitched,Basement,Company A,28328,463109,20
Residential,3019,3,8,3,Tile,13,Flat,Slab,Company D,21803,245629,33
Residential,4107,7,7,2,Carpet,11,Flat,Slab,Company C,5131,343265,28
Industrial,3396,9,13,2,Tile,8,Flat,Basement,Company D,28985,237336,17
Industrial,1583,6,5,2,Wood,10,Flat,Crawl Space,Company C,11261,253278,32
Industrial,3179,5,13,1,Wood,14,Gabled,Crawl Space,Company B,25999,112447,11
Residential,4403,7,9,2,Carpet,13,Gabled,Basement,Company C,9742,255090,35
Industrial,1782,9,4,4,Tile,14,Pitched,Slab,Company B,8943,225196,10
Commercial,4742,5,14,1,Carpet,9,Flat,Slab,Company C,18720,221001,19
Industrial,3390,5,4,1,Wood,14,Gabled,Slab,Company A,38711,209321,11
Commercial,1842,4,8,3,Tile,11,Flat,Basement,Company A,36310,204622,8
Industrial,3338,5,4,3,Carpet,14,Flat,Basement,Company B,10777,377700,28
Residential,1661,7,7,2,Wood,10,Pitched,Crawl Space,Company C,42130,199771,11
Industrial,2676,3,4,4,Wood,13,Gabled,Basement,Company A,10341,363612,19
Commercial,2635,4,11,1,Tile,9,Flat,Slab,Company B,26916,413913,25
Commercial,4326,9,1,1,Tile,13,Pitched,Basement,Company C,7646,435384,23
Industrial,2485,2,10,1,Tile,11,Pitched,Basement,Company A,35974,468198,22
Commercial,4201,8,9,3,Carpet,10,Flat,Slab,Company D,9562,438299,14
Commercial,2422,9,4,3,Carpet,8,Flat,Slab,Company C,7565,365021,13
Residential,3457,5,3,4,Tile,13,Pitched,Basement,Company B,42096,476380,36
Industrial,2732,7,3,3,Tile,12,Pitched,Basement,Company D,26518,339276,9
Industrial,1307,6,9,4,Tile,11,Flat,Slab,Company D,24996,351066,15
Industrial,4278,1,8,3,Wood,9,Flat,Slab,Company B,47175,159178,32
Commercial,3456,8,10,4,Tile,9,Pitched,Basement,Company D,47862,413883,22
Industrial,1921,9,7,3,Carpet,12,Gabled,Basement,Company B,31853,149313,25
Industrial,1089,1,7,3,Wood,12,Pitched,Crawl Space,Company A,27742,131828,10
Residential,3629,8,4,2,Tile,10,Pitched,Slab,Company B,7188,327374,22
Residential,3009,3,3,2,Carpet,12,Gabled,Basement,Company D,10587,399802,36
Residential,2200,6,12,2,Wood,11,Flat,Slab,Company D,38862,497070,30
Commercial,1366,8,4,4,Wood,13,Pitched,Slab,Company C,9920,362130,19
Industrial,2273,5,6,4,Carpet,12,Flat,Slab,Company D,14215,215204,28
Residential,2787,8,12,4,Carpet,11,Gabled,Slab,Company A,31290,340959,17
Residential,4587,7,13,4,Wood,8,Pitched,Basement,Company B,48732,204720,34
Residential,4665,7,14,2,Carpet,12,Flat,Crawl Space,Company B,45598,155352,12
Industrial,4060,7,4,1,Wood,8,Flat,Crawl Space,Company D,23556,184280,20
Industrial,4347,9,4,3,Wood,14,Flat,Basement,Company A,32988,327887,20
Industrial,4051,6,2,3,Wood,13,Flat,Crawl Space,Company B,30456,358798,17
Commercial,2516,6,14,4,Wood,9,Flat,Slab,Company C,12424,180215,6
Commercial,1812,9,7,2,Tile,13,Flat,Basement,Company A,28504,426033,33
Residential,2110,6,6,1,Carpet,14,Pitched,Basement,Company C,6186,106126,30
Industrial,1417,7,2,2,Tile,12,Pitched,Basement,Company C,18603,176073,31
Residential,2782,7,5,3,Tile,9,Gabled,Slab,Company B,8597,205412,13
Industrial,3028,2,6,4,Tile,13,Flat,Slab,Company A,13375,222677,35
Industrial,1268,8,5,4,Tile,8,Gabled,Slab,Company D,5907,472367,27
Industrial,4916,6,4,2,Wood,9,Pitched,Basement,Company B,10734,314100,35
Commercial,1939,4,11,4,Wood,8,Gabled,Slab,Company C,33156,246320,25
Commercial,2236,7,11,1,Wood,10,Pitched,Basement,Company B,9237,397899,11
Industrial,1336,8,9,3,Wood,13,Pitched,Slab,Company B,26013,259008,32
Residential,1751,1,3,1,Tile,13,Gabled,Slab,Company C,48500,194375,25
Industrial,3613,4,11,2,Wood,8,Pitched,Slab,Company B,22008,167579,7
Industrial,3806,4,2,3,Tile,10,Pitched,Slab,Company D,35748,114500,30
Residential,4794,9,9,1,Wood,9,Gabled,Crawl Space,Company C,37199,292999,36
Industrial,2640,6,8,1,Carpet,8,Gabled,Slab,Company A,11493,122090,31
Residential,1650,4,9,1,Carpet,10,Flat,Crawl Space,Company C,40514,264379,23
Commercial,2771,1,10,3,Carpet,8,Gabled,Basement,Company D,24285,213770,28
Commercial,1991,8,11,3,Carpet,11,Pitched,Basement,Company A,26006,101693,33
Residential,4720,9,3,4,Wood,13,Flat,Crawl Space,Company C,21494,255250,8
Commercial,2862,5,1,2,Carpet,11,Pitched,Basement,Company C,10720,369226,32
Commercial,3846,5,11,4,Carpet,9,Gabled,Slab,Company B,17108,327156,25
Residential,4358,8,1,2,Tile,11,Pitched,Crawl Space,Company A,43982,377215,8
Commercial,1104,8,3,3,Carpet,13,Gabled,Crawl Space,Company D,13304,342529,35
Industrial,3647,5,4,1,Wood,12,Gabled,Basement,Company D,15705,129447,36
Industrial,3235,4,2,4,Tile,10,Gabled,Basement,Company C,43283,223434,24
Residential,3604,6,8,3,Wood,13,Flat,Crawl Space,Company B,38596,303748,11
Commercial,2784,5,14,3,Tile,13,Gabled,Basement,Company D,48801,271574,16
Industrial,4736,8,13,3,Wood,12,Pitched,Crawl Space,Company B,30156,305625,18
Industrial,1512,9,12,4,Carpet,11,Flat,Crawl Space,Company A,44154,323662,11
Commercial,3695,1,3,3,Tile,9,Flat,Crawl Space,Company B,13647,258108,23
Commercial,2481,9,13,2,Carpet,12,Flat,Slab,Company B,7979,216751,20
Industrial,2133,9,14,2,Wood,13,Pitched,Slab,Company C,23614,453603,35
Industrial,3998,6,4,1,Wood,14,Gabled,Basement,Company D,10444,207499,19
Residential,974,5,6,4,Tile,9,Flat,Crawl Space,Company A,35037,113892,19
Residential,4005,7,10,4,Wood,8,Gabled,Basement,Company D,36730,276274,6
Industrial,2216,8,13,4,Wood,13,Gabled,Slab,Company A,35098,300298,27
Residential,2787,9,6,4,Tile,12,Pitched,Basement,Company A,21033,157157,34
Industrial,2572,9,13,4,Carpet,8,Flat,Crawl Space,Company D,32589,149693,22
Industrial,1874,3,2,3,Tile,12,Pitched,Crawl Space,Company A,16002,363195,33
Residential,1391,8,6,3,Wood,14,Flat,Slab,Company D,24069,123308,27
Residential,3778,1,4,2,Wood,10,Flat,Crawl Space,Company B,49209,159118,19
Commercial,4782,7,5,4,Tile,9,Gabled,Basement,Company A,30208,280290,36
Commercial,3210,5,7,4,Tile,8,Gabled,Crawl Space,Company D,20440,242911,18
Commercial,1647,2,7,4,Carpet,14,Flat,Slab,Company B,47830,354946,15
Industrial,1293,2,6,2,Wood,11,Flat,Crawl Space,Company B,26909,399516,11
Residential,1345,8,10,4,Wood,12,Gabled,Slab,Company B,41376,201187,6
Industrial,3086,5,6,4,Carpet,13,Flat,Crawl Space,Company B,45134,222633,10
Residential,3497,3,6,3,Tile,8,Flat,Slab,Company A,26505,269394,21
Industrial,4637,1,4,2,Tile,14,Flat,Slab,Company D,14550,353952,25
Commercial,2340,7,3,3,Carpet,14,Pitched,Crawl Space,Company D,36765,321062,21
Commercial,1683,3,1,1,Tile,12,Flat,Basement,Company B,7541,351471,27
Commercial,4756,7,3,4,Carpet,12,Flat,Slab,Company C,17453,404343,13
Industrial,3894,2,3,1,Tile,12,Gabled,Crawl Space,Company C,13308,188579,22
Residential,3165,4,9,4,Tile,8,Gabled,Basement,Company C,7390,406447,23
